Month,Season,Average Temperature
January,Wet,32.725308035714285
February,Wet,32.115089285714284
March,Wet,30.419683035714286
April,Wet,27.570513392857144
May,Dry,23.970616071428573
June,Dry,21.031861607142854
July,Dry,20.364401785714286
August,Dry,21.80559375
September,Dry,24.906111607142854
October,Dry,27.57675892857143
November,Wet,29.817562499999998
December,Wet,31.47085714285715
